PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
37981780,Psychiatric Screening Measures in Behavioral Variant Frontotemporal Dementia,"Pressman PS, Molden J, Wortzel HS, Plys E, Woodcock JH, Filley CM, Arciniegas DB.",J Neuropsychiatry Clin Neurosci. 2024 Spring;36(2):160-165. doi: 10.1176/appi.neuropsych.20230041. Epub 2023 Nov 20.,Pressman PS,J Neuropsychiatry Clin Neurosci,2024,11/20/23,,,10.1176/appi.neuropsych.20230041
38096625,"Risky driving behavior among individuals with Autism, ADHD, and typically developing persons","McManus B, Kana R, Rajpari I, Holm HB, Stavrinos D.",Accid Anal Prev. 2024 Feb;195:107367. doi: 10.1016/j.aap.2023.107367. Epub 2023 Dec 13.,McManus B,Accid Anal Prev,2024,12/14/23,,,10.1016/j.aap.2023.107367
38238059,"Prevalence of attention-deficit hyperactivity disorder in children, adolescents and adults in the Middle East and North Africa region: a systematic review and meta-analysis","Al-Wardat M, Etoom M, Almhdawi KA, Hawamdeh Z, Khader Y.",BMJ Open. 2024 Jan 18;14(1):e078849. doi: 10.1136/bmjopen-2023-078849.,Al-Wardat M,BMJ Open,2024,1/18/24,PMC10806616,,10.1136/bmjopen-2023-078849
38272009,Neuropsychological Assessments of Cognitive Impairment in Major Depressive Disorder: A Systematic Review and Meta-Analysis with Meta-Regression,"Rhee TG, Shim SR, Manning KJ, Tennen HA, Kaster TS, d'Andrea G, Forester BP, Nierenberg AA, McIntyre RS, Steffens DC.",Psychother Psychosom. 2024;93(1):8-23. doi: 10.1159/000535665. Epub 2024 Jan 25.,Rhee TG,Psychother Psychosom,2024,1/25/24,PMC10880806,,10.1159/000535665
36508531,Central Auditory Processing Disorder,"Aristidou IL, Hohman MH.",2023 Mar 1. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2024 Jan–.,Aristidou ILHohman MH,StatPearls,2024,3/1/23,,,
37959391,Cognitive Underperformance in a Mixed Neuropsychiatric Sample at Diagnostic Evaluation of Adult ADHD,"Dong H, Koerts J, Pijnenborg GHM, Scherbaum N, Müller BW, Fuermaier ABM.",J Clin Med. 2023 Nov 4;12(21):6926. doi: 10.3390/jcm12216926.,Dong H,J Clin Med,2023,11/14/23,PMC10647211,,10.3390/jcm12216926
37841480,Beyond Attention-Deficit Hyperactivity Disorder: Exploring Psychiatric Comorbidities and Their Neuropsychological Consequences in Adults,"Roh HJ, Bahn GH, Lee SY, Joung YS, Kim B, Kim EJ, Lee SI, Hong M, Han DH, Lee YS, Yoo HK, Bhang SY.",Soa Chongsonyon Chongsin Uihak. 2023 Oct 1;34(4):275-282. doi: 10.5765/jkacap.230050.,Roh HJ,Soa Chongsonyon Chongsin Uihak,2023,10/16/23,PMC10568183,,10.5765/jkacap.230050
37209018,Multimodal assessment of adult attention-deficit hyperactivity disorder: A controlled virtual seminar room study,"Wiebe A, Aslan B, Brockmann C, Lepartz A, Dudek D, Kannen K, Selaskowski B, Lux S, Ettinger U, Philipsen A, Braun N.",Clin Psychol Psychother. 2023 Sep-Oct;30(5):1111-1129. doi: 10.1002/cpp.2863. Epub 2023 May 20.,Wiebe A,Clin Psychol Psychother,2023,5/20/23,,,10.1002/cpp.2863
37593120,The Composite Autonomic Symptom Score 31 Questionnaire: A Sensitive Test to Detect Risk for Autonomic Neuropathy,"Meling S, Tjora E, Eichele H, Ejskjaer N, Carlsen S, Njølstad PR, Brock C, Søfteland E.",J Diabetes Res. 2023 Aug 9;2023:4441115. doi: 10.1155/2023/4441115. eCollection 2023.,Meling S,J Diabetes Res,2023,8/18/23,PMC10432092,,10.1155/2023/4441115
37158158,Self-Reported Adult ADHD Symptoms: Evidence Supporting Cautious Use in an Assessment-Seeking Sample,"Vizgaitis AL, Bottini S, Polizzi CP, Barden E, Krantweiss AR.",J Atten Disord. 2023 Aug;27(10):1156-1166. doi: 10.1177/10870547231172764. Epub 2023 May 9.,Vizgaitis AL,J Atten Disord,2023,5/9/23,,,10.1177/10870547231172764
36963236,Decision-making and frontoparietal resting-state functional connectivity among impulsive-compulsive diagnoses. Insights from a Bayesian approach,"León JJ, Fernández-Martin P, González-Rodríguez A, Rodríguez-Herrera R, García-Pinteño J, Pérez-Fernández C, Sánchez-Kuhn A, Amaya-Pascasio L, Soto-Ontoso M, Martínez-Sánchez P, Sánchez-Santed F, Flores P.",Addict Behav. 2023 Aug;143:107683. doi: 10.1016/j.addbeh.2023.107683. Epub 2023 Mar 11.,León JJ,Addict Behav,2023,3/24/23,,,10.1016/j.addbeh.2023.107683
37015108,The Association Between Autism Spectrum Disorder and Attention Deficit Hyperactivity Disorder Symptoms in Medical Students,"Heidari A, Motamed M, Rahimi Forushani A, Alaghband-Rad J.",J Nerv Ment Dis. 2023 Jun 1;211(6):453-459. doi: 10.1097/NMD.0000000000001645. Epub 2023 Apr 4.,Heidari A,J Nerv Ment Dis,2023,4/4/23,,,10.1097/NMD.0000000000001645
37039121,Assessing Adult ADHD Through Objective Neuropsychological Measures: A Critical Overview,"Rosso G, Portaluppi C, Teobaldi E, Di Salvo G, Maina G.",J Atten Disord. 2023 May;27(7):786-794. doi: 10.1177/10870547231167564. Epub 2023 Apr 11.,Rosso G,J Atten Disord,2023,4/11/23,,,10.1177/10870547231167564
35293009,"Clinical characteristics, neuroimaging findings, and neuropsychological functioning in attention-deficit hyperactivity disorder: Sex differences","Carucci S, Narducci C, Bazzoni M, Balia C, Donno F, Gagliano A, Zuddas A.",J Neurosci Res. 2023 May;101(5):704-717. doi: 10.1002/jnr.25038. Epub 2022 Mar 15.,Carucci S,J Neurosci Res,2023,3/16/22,,,10.1002/jnr.25038
34261385,Predictive value of performance validity testing and symptom validity testing in psychoeducational assessment,"Harrison AG, Beal AL, Armstrong IT.",Appl Neuropsychol Adult. 2023 May-Jun;30(3):315-329. doi: 10.1080/23279095.2021.1943396. Epub 2021 Jul 14.,Harrison AG,Appl Neuropsychol Adult,2023,7/15/21,,,10.1080/23279095.2021.1943396
37432158,Vitamin D and Probability of Developmental Disorders among Perinatally HIV-Affected and Unaffected Ugandan Children,"Awadu JE, Giordani B, Sikorskii A, Abbo C, Fenton JI, Zalwango S, Ezeamama AE.",Nutrients. 2023 Apr 22;15(9):2020. doi: 10.3390/nu15092020.,Awadu JE,Nutrients,2023,7/11/23,PMC10181402,,10.3390/nu15092020
37028795,Sex differences in medication-naïve adults with attention-deficit/hyperactivity disorder: A counting Stroop functional MRI study,"Lee SH, Chia S, Chou TL, Gau SS.",Biol Psychol. 2023 Apr;179:108552. doi: 10.1016/j.biopsycho.2023.108552. Epub 2023 Apr 6.,Lee SH,Biol Psychol,2023,4/7/23,,,10.1016/j.biopsycho.2023.108552
36802957,Neuropsychological and Symptom Predictors of Diagnostic Persistence in ADHD: A 25-Year Follow-up Study,"Øie MG, Storaas TAV, Egeland J.",J Atten Disord. 2023 Apr;27(6):612-622. doi: 10.1177/10870547231154903. Epub 2023 Feb 20.,Øie MG,J Atten Disord,2023,2/21/23,,,10.1177/10870547231154903
36495125,Conner's Continuous Performance Test and Adult ADHD: A Systematic Literature Review,"Pagán AF, Huizar YP, Schmidt AT.",J Atten Disord. 2023 Feb;27(3):231-249. doi: 10.1177/10870547221142455. Epub 2022 Dec 10.,Pagán AF,J Atten Disord,2023,12/10/22,,,10.1177/10870547221142455
36354066,Cognitive Performance and Psychiatric Self-Reports Across Adult Cognitive Disengagement Syndrome and ADHD Diagnostic Groups,"Cerny BM, Reynolds TP, Chang F, Scimeca LM, Phillips MS, Ogram Buckley CM, Leib SI, Resch ZJ, Pliskin NH, Soble JR.",J Atten Disord. 2023 Feb;27(3):258-269. doi: 10.1177/10870547221136216. Epub 2022 Nov 10.,Cerny BM,J Atten Disord,2023,11/10/22,,,10.1177/10870547221136216
34709396,King-Devick Sensitivity and Specificity to Concussion in Collegiate Athletes,"Le RK, Ortega J, Chrisman SP, Kontos AP, Buckley TA, Kaminski TW, Meyer BP, Clugston JR, Goldman JT, McAllister T, McCrea M, Broglio SP, Schmidt JD.",J Athl Train. 2023 Feb 1;58(2):97-105. doi: 10.4085/1062-6050-0063.21.,Le RK,J Athl Train,2023,10/28/21,PMC10072097,,10.4085/1062-6050-0063.21
34993599,ASD symptoms in adults with ADHD: a comparative study using ADOS-2,"Hayashi W, Hanawa Y, Saga N, Nakamura D, Iwanami A.",Eur Arch Psychiatry Clin Neurosci. 2022 Dec;272(8):1481-1494. doi: 10.1007/s00406-021-01362-9. Epub 2022 Jan 7.,Hayashi W,Eur Arch Psychiatry Clin Neurosci,2022,1/7/22,,,10.1007/s00406-021-01362-9
35466735,Identifying Feigned ADHD in College Students: Comparing the Multidimensional ADHD Rating Scale to Established Validity Measures,"Potts HE, Lewandowski LJ, Lovett BJ.",J Atten Disord. 2022 Oct;26(12):1622-1630. doi: 10.1177/10870547221092095. Epub 2022 Apr 25.,Potts HE,J Atten Disord,2022,4/25/22,,,10.1177/10870547221092095
36104774,Objective assessment of motor activity in a clinical sample of adults with attention-deficit/hyperactivity disorder and/or cyclothymic temperament,"Syrstad VEG, Mjeldheim K, Førland W, Jakobsen P, Gjestad R, Berle JØ, Merikangas KR, Oedegaard KJ, Fasmer OB.",BMC Psychiatry. 2022 Sep 14;22(1):609. doi: 10.1186/s12888-022-04242-1.,Syrstad VEG,BMC Psychiatry,2022,9/14/22,PMC9476590,,10.1186/s12888-022-04242-1
35842020,Severe developmental topographical disorientation associated with ADHD and dyscalculia: A case report,"Descloux V, Ruffieux N, Gasser AI, Maurer R.",Neuropsychologia. 2022 Sep 9;174:108331. doi: 10.1016/j.neuropsychologia.2022.108331. Epub 2022 Jul 13.,Descloux V,Neuropsychologia,2022,7/16/22,,,10.1016/j.neuropsychologia.2022.108331
35255743,Efficacy of Continuous Performance Testing in Adult ADHD in a Clinical Sample Using QbTest,"Adamou M, Jones SL, Marks L, Lowe D.",J Atten Disord. 2022 Sep;26(11):1483-1491. doi: 10.1177/10870547221079798. Epub 2022 Mar 7.,Adamou M,J Atten Disord,2022,3/8/22,,,10.1177/10870547221079798
35694176,Long-term psychiatric outcomes in youth with enterovirus A71 central nervous system involvement,"Lin HY, Chen YL, Chou PH, Gau SS, Chang LY.",Brain Behav Immun Health. 2022 Jun 1;23:100479. doi: 10.1016/j.bbih.2022.100479. eCollection 2022 Aug.,Lin HY,Brain Behav Immun Health,2022,6/13/22,PMC9184869,,10.1016/j.bbih.2022.100479
34784815,Cognitive and Neuroimaging Profiles of Older Adults With Attention Deficit/Hyperactivity Disorder Presenting to a Memory Clinic,"Callahan BL, Ramakrishnan N, Shammi P, Bierstone D, Taylor R, Ozzoude M, Goubran M, Stuss DT, Black SE.",J Atten Disord. 2022 Jun;26(8):1118-1129. doi: 10.1177/10870547211060546. Epub 2021 Nov 16.,Callahan BL,J Atten Disord,2022,11/17/21,PMC9066671,,10.1177/10870547211060546
35629008,Network Analysis of DSM Symptoms of Substance Use Disorders and Frequently Co-Occurring Mental Disorders in Patients with Substance Use Disorder Who Seek Treatment,"López-Toro E, Wolf CJH, González RA, van den Brink W, Schellekens A, Vélez-Pastrana MC, On Behalf Of The Afp Working Collaborative Group.",J Clin Med. 2022 May 19;11(10):2883. doi: 10.3390/jcm11102883.,López-Toro E,J Clin Med,2022,5/28/22,PMC9145186,,10.3390/jcm11102883
35279510,Larger striatal volume is associated with increased adult psychopathy,"Choy O, Raine A, Schug R.",J Psychiatr Res. 2022 May;149:185-193. doi: 10.1016/j.jpsychires.2022.03.006. Epub 2022 Mar 6.,Choy O,J Psychiatr Res,2022,3/13/22,,,10.1016/j.jpsychires.2022.03.006
37725542,Measuring Integrated Novel Dimensions in Neurodevelopmental and Stress-Related Mental Disorders (MIND-SET): Protocol for a Cross-sectional Comorbidity Study From a Research Domain Criteria Perspective,"van Eijndhoven P, Collard R, Vrijsen J, Geurts DEM, Vasquez AA, Schellekens A, van den Munckhof E, Brolsma S, Duyser F, Bergman A, van Oort J, Tendolkar I, Schene A.",JMIRx Med. 2022 Mar 29;3(1):e31269. doi: 10.2196/31269.,van Eijndhoven P,JMIRx Med,2022,9/19/23,PMC10414459,,10.2196/31269
34218514,Verbal working memory and processing speed: Correlations with the severity of attention deficit and emotional dysregulation in adult ADHD,"Anker E, Ogrim G, Heir T.",J Neuropsychol. 2022 Mar;16(1):211-235. doi: 10.1111/jnp.12260. Epub 2021 Jul 4.,Anker E,J Neuropsychol,2022,7/4/21,PMC9290636,,10.1111/jnp.12260
33751200,ASD symptoms in adults with ADHD: a preliminary study using the ADOS-2,"Hayashi W, Hanawa Y, Yuriko I, Aoyagi K, Saga N, Nakamura D, Iwanami A.",Eur Arch Psychiatry Clin Neurosci. 2022 Mar;272(2):217-232. doi: 10.1007/s00406-021-01250-2. Epub 2021 Mar 22.,Hayashi W,Eur Arch Psychiatry Clin Neurosci,2022,3/22/21,,,10.1007/s00406-021-01250-2
35210209,Attempted suicide with intravenous methamphetamine and chemsex,"Garcia-Fuentes D, Fernández-Fernández EP, Planet Nielsen N, Batlle De Santiago E, Giné-Servén E, Cañete Crespillo J.",Rev Colomb Psiquiatr (Engl Ed). 2022 Jan-Mar;51(1):76-80. doi: 10.1016/j.rcpeng.2020.09.002. Epub 2022 Feb 21.,Garcia-Fuentes D,Rev Colomb Psiquiatr (Engl Ed),2022,2/25/22,,,10.1016/j.rcpeng.2020.09.002
33238787,Eye Tracking During a Continuous Performance Test: Utility for Assessing ADHD Patients,"Lev A, Braw Y, Elbaum T, Wagner M, Rassovsky Y.",J Atten Disord. 2022 Jan;26(2):245-255. doi: 10.1177/1087054720972786. Epub 2020 Nov 26.,Lev A,J Atten Disord,2022,11/26/20,,,10.1177/1087054720972786
34891669,Evaluating the Neuroimaging-Genetic Prediction of Symptom Changes in Individuals with ADHD,"Suresh P, Ray B, Duan K, Chen J, Schoenmacker G, Franke B, Buitelaar JK, Sprooten E, Arias-Vasquez A, Turner JA, Liu J.",Annu Int Conf IEEE Eng Med Biol Soc. 2021 Nov;2021:1950-1956. doi: 10.1109/EMBC46164.2021.9630229.,Suresh P,Annu Int Conf IEEE Eng Med Biol Soc,2021,12/11/21,,,10.1109/EMBC46164.2021.9630229
34765742,The FASD Eye Code: a complementary diagnostic tool in fetal alcohol spectrum disorders,"Aring E, Gyllencreutz E, Landgren V, Svensson L, Landgren M, Grönlund MA.",BMJ Open Ophthalmol. 2021 Oct 22;6(1):e000852. doi: 10.1136/bmjophth-2021-000852. eCollection 2021.,Aring E,BMJ Open Ophthalmol,2021,11/12/21,PMC8543669,,10.1136/bmjophth-2021-000852
34663272,ADHD overdiagnosis and the role of patient gender among Iranian psychiatrists,"Beheshti A, Chavanon ML, Schneider S, Christiansen H.",BMC Psychiatry. 2021 Oct 19;21(1):514. doi: 10.1186/s12888-021-03525-3.,Beheshti A,BMC Psychiatry,2021,10/19/21,PMC8525031,,10.1186/s12888-021-03525-3
34414995,Comparison of functional dorsal attention network alterations in breast cancer survivors before and after chemotherapy,"Shen CY, Tsai YH, Chen VC, Chou MC, McIntyre RS, Weng JC.",Medicine (Baltimore). 2021 Aug 20;100(33):e27018. doi: 10.1097/MD.0000000000027018.,Shen CY,Medicine (Baltimore),2021,8/20/21,PMC8376308,,10.1097/MD.0000000000027018
32945134,Diagnostic delay in ADHD: Duration of untreated illness and its socio-demographic and clinical predictors in a sample of adult outpatients,"Oliva F, Malandrone F, Mirabella S, Ferreri P, di Girolamo G, Maina G.",Early Interv Psychiatry. 2021 Aug;15(4):957-965. doi: 10.1111/eip.13041. Epub 2020 Sep 17.,Oliva F,Early Interv Psychiatry,2021,9/18/20,,,10.1111/eip.13041
33528652,"ADHD at the workplace: ADHD symptoms, diagnostic status, and work-related functioning","Fuermaier ABM, Tucha L, Butzbach M, Weisbrod M, Aschenbrenner S, Tucha O.",J Neural Transm (Vienna). 2021 Jul;128(7):1021-1031. doi: 10.1007/s00702-021-02309-z. Epub 2021 Feb 2.,Fuermaier ABM,J Neural Transm (Vienna),2021,2/2/21,PMC8295111,,10.1007/s00702-021-02309-z
33749704,Association Between Hypertensive Disorders of Pregnancy and Neurodevelopmental Outcomes Among Offspring,"Brand JS, Lawlor DA, Larsson H, Montgomery S.",JAMA Pediatr. 2021 Jun 1;175(6):577-585. doi: 10.1001/jamapediatrics.2020.6856.,Brand JS,JAMA Pediatr,2021,3/22/21,PMC7985818,,10.1001/jamapediatrics.2020.6856
34157944,"Metacognition, psychopathology and daily functioning in adult ADHD","Butzbach M, Fuermaier ABM, Aschenbrenner S, Weisbrod M, Tucha L, Tucha O.",J Clin Exp Neuropsychol. 2021 May;43(4):384-398. doi: 10.1080/13803395.2021.1940104. Epub 2021 Jun 22.,Butzbach M,J Clin Exp Neuropsychol,2021,6/23/21,,,10.1080/13803395.2021.1940104
34088256,What can we learn about performance validity from TOVA response profiles?,"Pollock B, Harrison AG, Armstrong IT.",J Clin Exp Neuropsychol. 2021 May;43(4):412-425. doi: 10.1080/13803395.2021.1932762. Epub 2021 Jun 4.,Pollock B,J Clin Exp Neuropsychol,2021,6/5/21,,,10.1080/13803395.2021.1932762
31625421,Pre-attention and Working Memory in ADHD: A 25-Year Follow-Up Study,"Torgalsbøen BR, Zeiner P, Øie MG.",J Atten Disord. 2021 May;25(7):895-905. doi: 10.1177/1087054719879491. Epub 2019 Oct 18.,Torgalsbøen BR,J Atten Disord,2021,10/19/19,,,10.1177/1087054719879491
31409195,Differentiation of ADHD and Depression Based on Cognitive Performance,"Paucke M, Stibbe T, Huang J, Strauss M.",J Atten Disord. 2021 May;25(7):920-932. doi: 10.1177/1087054719865780. Epub 2019 Aug 13.,Paucke M,J Atten Disord,2021,8/15/19,,,10.1177/1087054719865780
31370740,Telomere Length and ADHD Symptoms in Young Adults,"Momany AM, Lussier S, Nikolas MA, Stevens H.",J Atten Disord. 2021 May;25(7):906-919. doi: 10.1177/1087054719865776. Epub 2019 Aug 2.,Momany AM,J Atten Disord,2021,8/3/19,PMC7202341,NIHMS1579316,10.1177/1087054719865776
31303053,Can the CANTAB identify adults with attention-deficit/hyperactivity disorder? A controlled study,"Fried R, DiSalvo M, Kelberman C, Biederman J.",Appl Neuropsychol Adult. 2021 May-Jun;28(3):318-327. doi: 10.1080/23279095.2019.1633328. Epub 2019 Jul 14.,Fried R,Appl Neuropsychol Adult,2021,7/16/19,,,10.1080/23279095.2019.1633328
33618892,The role of neuropsychological assessment in adults with attention deficit/hyperactivity disorders,"Planton M, Lemesle B, Cousineau M, Carlier J, Milongo-Rigal E, Carle-Toulemonde G, Salles J, Pariente J.",Rev Neurol (Paris). 2021 Apr;177(4):341-348. doi: 10.1016/j.neurol.2021.01.006. Epub 2021 Feb 19.,Planton M,Rev Neurol (Paris),2021,2/23/21,,,10.1016/j.neurol.2021.01.006
33741956,Prediction of stimulus-independent and task-unrelated thought from functional brain networks,"Kucyi A, Esterman M, Capella J, Green A, Uchida M, Biederman J, Gabrieli JDE, Valera EM, Whitfield-Gabrieli S.",Nat Commun. 2021 Mar 19;12(1):1793. doi: 10.1038/s41467-021-22027-0.,Kucyi A,Nat Commun,2021,3/20/21,PMC7979817,,10.1038/s41467-021-22027-0
33740903,Brain activation patterns in medicated versus medication-naïve adults with attention-deficit hyperactivity disorder during fMRI tasks of motor inhibition and cognitive switching,"Berberat J, Huggenberger R, Montali M, Gruber P, Pircher A, Lövblad KO, Killer HE, Remonda L.",BMC Med Imaging. 2021 Mar 19;21(1):53. doi: 10.1186/s12880-021-00579-3.,Berberat J,BMC Med Imaging,2021,3/20/21,PMC7977301,,10.1186/s12880-021-00579-3
30762473,Rates of Performance Validity Test Failure for ADHD Evaluations in a Military Population: An Exploratory Study,Buckley TR.,J Atten Disord. 2021 Mar;25(5):685-692. doi: 10.1177/1087054719829576. Epub 2019 Feb 14.,Buckley TR,J Atten Disord,2021,2/15/19,,,10.1177/1087054719829576
33093356,A Preliminary Investigation of Deficits in Executive Functions of Adults With Attention Deficit Hyperactivity Disorder,"Alaghband-Rad J, Dashti B, Tehranidoost M, Zargarinejad G, FarhadBeigi P.",J Nerv Ment Dis. 2021 Jan;209(1):35-39. doi: 10.1097/NMD.0000000000001247.,Alaghband-Rad J,J Nerv Ment Dis,2021,10/23/20,,,10.1097/NMD.0000000000001247
31791193,Diagnosing Attention-Deficit/Hyperactivity Disorder (ADHD) in young adults: A qualitative review of the utility of assessment measures and recommendations for improving the diagnostic process,"Marshall P, Hoelzle J, Nikolas M.",Clin Neuropsychol. 2021 Jan;35(1):165-198. doi: 10.1080/13854046.2019.1696409. Epub 2019 Dec 3.,Marshall P,Clin Neuropsychol,2021,12/4/19,,,10.1080/13854046.2019.1696409
33382934,Case 41-2020: A 62-Year-Old Man with Memory Loss and Odd Behavior,"Price BH, Perez DL, Rapalino O, Oakley DH.",N Engl J Med. 2020 Dec 31;383(27):2666-2675. doi: 10.1056/NEJMcpc1916251.,Price BH,N Engl J Med,2020,12/31/20,,,10.1056/NEJMcpc1916251
32862563,Neuropsychological characteristics of adults with attention-deficit/hyperactivity disorder without intellectual disability,"Hida M, Hayashi W, Okajima Y, Takashio O, Iwanami A.",Neuropsychopharmacol Rep. 2020 Dec;40(4):407-411. doi: 10.1002/npr2.12134. Epub 2020 Aug 30.,Hida M,Neuropsychopharmacol Rep,2020,8/31/20,PMC7722675,,10.1002/npr2.12134
33182303,Attention-Deficit/Hyperactivity Disorder (ADHD): Integrating the MOXO-dCPT with an Eye Tracker Enhances Diagnostic Precision,"Elbaum T, Braw Y, Lev A, Rassovsky Y.",Sensors (Basel). 2020 Nov 9;20(21):6386. doi: 10.3390/s20216386.,Elbaum T,Sensors (Basel),2020,11/13/20,PMC7664925,,10.3390/s20216386
33361063,Disentangling pediatric bipolar disorder and attention deficit-hyperactivity disorder: A neuropsychological approach,"Zaravinos-Tsakos F, Kolaitis G.",Psychiatriki. 2020 Oct-Dec;31(4):332-340. doi: 10.22365/jpsych.2020.314.332.,Zaravinos-Tsakos F,Psychiatriki,2020,12/28/20,,,10.22365/jpsych.2020.314.332
